sample_id,cancer_type,feature,bina
1330994,ALL/CLL,SBS1,1
1330995,DLBC,SBS1,0
1331025,ALL/CLL,SBS1,0
1331030,DLBC,SBS1,0
1331032,DLBC,SBS1,0
1331033,DLBC,SBS1,0
1331034,DLBC,SBS1,0
1331035,DLBC,SBS1,0
1331036,DLBC,SBS1,0
1331037,DLBC,SBS1,0
1331038,DLBC,SBS1,1
1331039,HL,SBS1,0
1331040,LYMP,SBS1,0
1331045,DLBC,SBS1,0
1331048,DLBC,SBS1,0
1331050,DLBC,SBS1,0
1331055,SCLC,SBS1,0
1479987,OV,SBS1,0
1479988,OV,SBS1,0
1479995,OV,SBS1,0
1480358,OV,SBS1,0
1480359,OV,SBS1,0
1480360,OV,SBS1,0
1480361,OV,SBS1,0
1480362,OV,SBS1,0
1480364,OV,SBS1,0
1480367,OV,SBS1,0
1480371,OV,SBS1,1
1480372,OV,SBS1,0
1480374,OV,SBS1,0
1503361,ESCA,SBS1,0
1503362,ESCA,SBS1,0
1503363,ESCA,SBS1,0
1503364,STAD,SBS1,0
1503365,ESCA,SBS1,0
1503366,ESCA,SBS1,0
1503367,ESCA,SBS1,0
1503368,ESCA,SBS1,0
1503369,LUAD,SBS1,0
1503370,LUAD,SBS1,0
1503371,ESCA,SBS1,0
1503373,BONE,SBS1,0
1509073,KIRC,SBS1,0
1509074,KIRC,SBS1,0
1524414,KIRC,SBS1,0
1524415,KIRC,SBS1,0
1524416,KIRC,SBS1,0
1524417,KIRC,SBS1,0
1524418,KIRC,SBS1,0
1524419,KIRC,SBS1,0
1659817,MM,SBS1,0
1659818,MM,SBS1,0
1659819,DLBC,SBS1,0
1659823,COREAD,SBS1,1
1659928,COREAD,SBS1,1
1659929,COREAD,SBS1,0
1660034,COREAD,SBS1,1
1660035,COREAD,SBS1,0
